,Player,Team,Pos,G.,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1," Castro, S",MIA,2B,162,636,68,172,31,4,22,86,28,111,2,2,0.27,0.3,0.436,0.736
2," Merrifield, W",KC,2B,162,681,105,206,41,10,16,74,45,126,20,10,0.302,0.348,0.463,0.811
3," Semien, M",OAK,SS,162,657,123,187,43,7,33,92,87,102,10,8,0.285,0.369,0.522,0.892
4," Soler, J",KC,RF,162,589,95,156,33,1,48,117,73,178,3,1,0.265,0.354,0.569,0.922
5," Villar, J",BAL,2B,162,642,111,176,33,5,24,73,61,176,40,9,0.274,0.339,0.453,0.792
6," Alonso, P",NYM,1B,161,597,103,155,30,2,53,120,72,183,1,0,0.26,0.358,0.583,0.941
7," Goldschmidt, P",STL,1B,161,597,97,155,25,1,34,97,78,166,3,1,0.26,0.346,0.476,0.821
8," Hernandez, C",PHI,2B,161,612,77,171,31,3,14,71,45,100,9,2,0.279,0.333,0.408,0.741
9," Pillar, K",SF,CF,161,611,83,158,37,3,21,88,18,89,14,5,0.259,0.287,0.432,0.719
10," Albies, O",ATL,2B,160,640,102,189,43,8,24,86,54,112,15,4,0.295,0.352,0.5,0.852
11," Hoskins, R",PHI,1B,160,570,86,129,33,5,29,85,116,173,2,2,0.226,0.364,0.454,0.819
12," Hosmer, E",SD,1B,160,619,72,164,29,2,22,99,40,163,0,3,0.265,0.31,0.425,0.735
13," Abreu, J",CWS,1B,159,634,85,180,38,1,33,123,36,152,2,2,0.284,0.33,0.503,0.834
14," DeJong, P",STL,SS,159,583,97,136,31,1,30,78,62,149,9,5,0.233,0.318,0.444,0.762
15," Suarez, E",CIN,3B,159,575,87,156,22,2,49,103,70,189,3,2,0.271,0.358,0.572,0.93
16," Ahmed, N",ARI,SS,158,556,79,141,33,6,19,82,52,113,8,2,0.254,0.316,0.437,0.753
17," Escobar, E",ARI,3B,158,636,94,171,29,10,35,118,50,130,5,1,0.269,0.32,0.511,0.831
18," Freeman, F",ATL,1B,158,597,113,176,34,2,38,121,87,127,6,3,0.295,0.389,0.549,0.938
19," Santana, C",CLE,1B,158,573,110,161,30,1,34,93,108,108,4,0,0.281,0.397,0.515,0.911
20," Harper, B",PHI,RF,157,573,98,149,36,1,35,114,99,178,15,3,0.26,0.372,0.51,0.882
21," Rosario, A",NYM,SS,157,616,75,177,30,7,15,72,31,124,19,10,0.287,0.323,0.432,0.755
22," Acuna Jr., R",ATL,LF,156,626,127,175,22,2,41,101,76,188,37,9,0.28,0.365,0.518,0.883
