STATE,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_EXPENDITURE,CALIFORNIA_TOTAL_EXPENDITURE
ALABAMA,1992,,2678885,2653798,27138832
ALABAMA,1993,727716,2827391,2833433,28110986
ALABAMA,1994,730004,2970223,3103266,23012688
ALABAMA,1995,727480,3367437,3353363,30097549
ALABAMA,1996,735912,3365113,3572283,31561692
ALABAMA,1997,737386,3981788,3963624,33862281
ALABAMA,1998,739321,4140537,4245033,38087666
ALABAMA,1999,737639,4471546,4622810,40834643
ALABAMA,2000,730184,4885917,5003267,45829753
ALABAMA,2001,728532,4832946,5086045,52082540
ALABAMA,2002,726367,5128559,5147821,74766086
ALABAMA,2003,727900,5196054,5298932,69847705
ALABAMA,2004,730418,5356113,5450269,72506810
ALABAMA,2005,729342,5889966,5904664,69727119
ALABAMA,2006,743265,6364028,6591429,70191877
ALABAMA,2007,743273,7069040,7196459,71227111
ALABAMA,2008,742919,7726213,7847387,56464225
ALABAMA,2009,745668,7186390,7815467,76618865
ALABAMA,2010,748889,7281058,7647571,73225422
ALABAMA,2011,746933,7376725,7411768,59749885
ALABAMA,2012,744621,7136949,7222161,66196072
ALABAMA,2013,744548,7197439,7487741,62647953
ALABAMA,2014,740081,7357267,7587737,68722432
ALABAMA,2015,734974,7360222,7501799,
ALABAMA,2016,734652,7498567,7708845,
