id,State,Average_Expenditure
AL,ALABAMA,5450269
AK,ALASKA,1817666.4
AZ,ARIZONA,6549709.12
AR,ARKANSAS,3707725.96
CA,CALIFORNIA,56247851.32
CO,COLORADO,6662776.4
CT,CONNECTICUT,7197858.72
DE,DELAWARE,1374873.48
FL,FLORIDA,21287605.24
GA,GEORGIA,13332004.36
HI,HAWAII,1775751.76
ID,IDAHO,1644000.32
IL,ILLINOIS,21444064.84
IN,INDIANA,9406665.08
IA,IOWA,4734091.4
KS,KANSAS,4245505.64
KY,KENTUCKY,5350342.72
LA,LOUISIANA,5966403.88
ME,MAINE,2110503.12
MD,MARYLAND,9574154.72
MA,MASSACHUSETTS,11740076.32
MI,MICHIGAN,17026245.84
MN,MINNESOTA,8861633.52
MS,MISSISSIPPI,3385137.08
MO,MISSOURI,7830981.52
MT,MONTANA,1298440.72
NE,NEBRASKA,2827493.88
NV,NEVADA,3118675.8
NH,NEW HAMPSHIRE,2145839
NJ,NEW_JERSEY,20051592.24
NM,NEW_MEXICO,2725713
NY,NEW_YORK,44201162.8
NC,NORTH_CAROLINA,10512102.72
ND,NORTH_DAKOTA,1024572.36
OH,OHIO,17775446.24
OK,OKLAHOMA,4499403.64
OR,OREGON,5133733.64
PA,PENNSYLVANIA,21813791.52
RI,RHODE_ISLAND,1697362.2
SC,SOUTH_CAROLINA,6156678.92
SD,SOUTH_DAKOTA,1014543.96
TN,TENNESSEE,6771679.56
TX,TEXAS,38347089.88
UT,UTAH,3221084.2
VT,VERMONT,1444050.6
VA,VIRGINIA,11736354.59
WA,WASHINGTON,9481863.84
WV,WEST_VIRGINIA,2670432.28
WI,WISCONSIN,8995488.76
WY,WYOMING,1152672.48
