,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
0,1993_ALABAMA,ALABAMA,1993,727716,2827391,331409,1729295,766687,2833433,1564558,794146,237222,204207,8264.0,56598.0,57497.0,60004.0,39900.0,470775.0,198651.0,677690.0,,161.0,460.0,622.0,420.0,3722.0,2023.0,,,328.0,358.0,317.0,296.0,2704.0,1288.0,,,268.0,224.0,218.0,143.0,1867.0,646.0,,,20311.0,20454.0,21942.0,13148.0,169372.0,70017.0,,,35530.0,36001.0,36905.0,25893.0,293110.0,124628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1993_ALASKA,ALASKA,1993,121156,1191398,176150,775829,239419,1126398,494917,433788,36291,135791,2787.0,10329.0,10156.0,9160.0,6975.0,80485.0,32347.0,115619.0,1758.0,2728.0,2352.0,1968.0,1394.0,18216.0,6753.0,26727.0,40.0,428.0,413.0,336.0,347.0,3241.0,1435.0,4716.0,29.0,283.0,252.0,207.0,192.0,1958.0,799.0,2786.0,64.0,572.0,524.0,443.0,336.0,4013.0,1504.0,5581.0,896.0,6318.0,6615.0,6206.0,4706.0,53057.0,21856.0,75809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993_ARIZONA,ARIZONA,1993,676297,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083,680139,3164.0,57656.0,57701.0,53500.0,37614.0,461398.0,182737.0,647299.0,279.0,4108.0,4023.0,3626.0,2422.0,31738.0,12737.0,44754.0,39.0,807.0,867.0,818.0,885.0,6993.0,3506.0,10538.0,893.0,17441.0,15791.0,14437.0,8902.0,128299.0,47451.0,176643.0,134.0,2582.0,2483.0,2134.0,1472.0,19354.0,7182.0,26670.0,1819.0,32718.0,34537.0,32485.0,23933.0,275014.0,111861.0,388694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1993_ARKANSAS,ARKANSAS,1993,311432,1346909,128196,771079,447634,1376067,782791,386526,68617,97824,1248.0,34337.0,34255.0,36471.0,27169.0,280280.0,125801.0,407329.0,0.0,84.0,99.0,110.0,124.0,875.0,461.0,1336.0,10.0,185.0,236.0,235.0,235.0,1797.0,954.0,2761.0,24.0,384.0,315.0,274.0,196.0,2623.0,912.0,3559.0,617.0,8418.0,8225.0,8761.0,5956.0,66718.0,28953.0,96288.0,597.0,25266.0,25380.0,27091.0,20658.0,208267.0,94521.0,303385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1993_CALIFORNIA,CALIFORNIA,1993,5129788,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514,1944760,59954.0,444104.0,420233.0,380223.0,277271.0,3328627.0,1393530.0,4782111.0,,3194.0,3270.0,3278.0,2429.0,26428.0,12829.0,,,44190.0,46547.0,44160.0,40422.0,365567.0,173013.0,,,182030.0,156918.0,134489.0,86073.0,1244541.0,485593.0,,,37532.0,35272.0,32631.0,20483.0,284541.0,118799.0,,,177158.0,178226.0,165665.0,127864.0,1407550.0,603296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1993_COLORADO,COLORADO,1993,539538,3058326,147793,1242337,1668196,3028305,1537714,954032,92163,318959,7249.0,47598.0,50807.0,47665.0,34770.0,403871.0,164260.0,575380.0,104.0,561.0,527.0,419.0,275.0,4074.0,1433.0,5611.0,201.0,1138.0,1278.0,1157.0,1101.0,9490.0,4389.0,14080.0,2263.0,9065.0,8651.0,7893.0,4696.0,69518.0,25533.0,97314.0,652.0,2739.0,2664.0,2506.0,1485.0,21740.0,8279.0,30671.0,4029.0,34095.0,37687.0,35690.0,27213.0,299049.0,124626.0,427704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1993_CONNECTICUT,CONNECTICUT,1993,471918,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312,186802,6216.0,42338.0,39093.0,34662.0,27979.0,310022.0,127655.0,443893.0,2.0,61.0,73.0,96.0,96.0,653.0,463.0,1118.0,152.0,997.0,941.0,762.0,792.0,7350.0,3206.0,10708.0,1299.0,4933.0,4184.0,3594.0,2106.0,34190.0,12450.0,47939.0,1412.0,5528.0,4959.0,4334.0,3092.0,39087.0,15920.0,56419.0,3351.0,30819.0,28936.0,25876.0,21893.0,228742.0,95616.0,327709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1993_DELAWARE,DELAWARE,1993,104355,683954,44497,443250,196207,694534,394680,207850,26548,47372,565.0,8153.0,8285.0,8265.0,5882.0,67899.0,28930.0,97394.0,0.0,16.0,9.0,19.0,22.0,119.0,94.0,213.0,3.0,114.0,147.0,148.0,120.0,1159.0,501.0,1663.0,21.0,307.0,274.0,266.0,173.0,2316.0,954.0,3291.0,213.0,2272.0,2399.0,2297.0,1435.0,19652.0,7901.0,27766.0,328.0,5444.0,5456.0,5535.0,4132.0,44653.0,19480.0,64461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1993_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1993,80937,721151,73882,0,647269,719440,339266,302281,39819,38074,5216.0,6986.0,5870.0,4935.0,3303.0,46917.0,17854.0,69987.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,13.0,54.0,75.0,72.0,54.0,76.0,593.0,317.0,964.0,338.0,475.0,351.0,246.0,195.0,2821.0,1216.0,4375.0,4588.0,6049.0,5179.0,4487.0,2947.0,41419.0,15876.0,61883.0,236.0,386.0,268.0,148.0,85.0,2072.0,444.0,2752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1993_FLORIDA,FLORIDA,1993,1980569,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220,1424334,34793.0,167140.0,168509.0,149054.0,100646.0,1313261.0,525569.0,1873623.0,70.0,327.0,274.0,258.0,177.0,2326.0,1015.0,3411.0,283.0,2378.0,2654.0,2616.0,2607.0,20719.0,10951.0,31953.0,3944.0,22650.0,23357.0,20169.0,14405.0,179937.0,75658.0,259539.0,15944.0,42598.0,41373.0,35473.0,21925.0,322243.0,124128.0,462315.0,14552.0,99187.0,100851.0,90538.0,61532.0,788036.0,313817.0,1116405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
